species,order,LogBrain,LogBody,BrainResidual,BehaviorCategories,MigratoryDistance,SnowWeeks,EVI.BreedingSite(Winter),EVI.BreedingSite(Summer),EVI.NonBreedingSite(Winter),CV(EVI)Intra-year,CV(EVI)Among-years,PPC1,PPC2,FruitConsumer,InsectConsumer,ForestDweller,DietBreadth,Incubation,Fledging,DevelopmentalMode,SocialMatingSystem,ColonialBreeding,SocialForaging
Coccyzus_americanus,CUCULIFORMES,0.14,4.043,0.093,Migrant.Long,5916.696,NA,1.44,1.507,1.617,0.044,0.012,NA,NA,1,1,1,0.065,10,14.5,altricial,NA,NA,Aggregation
Coccyzus_erythropthalmus,CUCULIFORMES,0.036,3.979,0.023,Migrant.Long,5561.841,NA,1.332,1.458,1.652,0.074,0.014,NA,NA,1,1,1,0.063,10.5,14.5,altricial,NA,NA,NA
Coccyzus_vetula,CUCULIFORMES,0.696,4.598,0.363,Resident.LowLat,0,0,1.658,1.737,1.658,0.012,0.012,-0.81,1.289,0,1,1,0.002,NA,NA,altricial,NA,NA,NA
Coereba_flaveola,PASSERIFORMES,-0.815,2.145,0.132,Resident.LowLat,0,0,1.61,1.637,1.61,0.018,0.013,0.222,1.161,0,0,1,0.072,12.5,18,altricial,Monogamous,Solitary,Aggregation
Colaptes_auratus,PICIFORMES,1.118,5.029,0.559,Migrant.Short,2978.618,NA,1.056,1.262,1.377,0.085,0.017,NA,NA,0,1,1,0.155,11.68,26,altricial,Monogamous,Solitary,Aggregation
Colius_striatus,COLIIFORMES,0.049,3.85,0.102,Resident.LowLat,0,0,1.51,1.522,1.51,0.024,0.011,0.693,-0.093,1,0,1,0.04,13.25,17.5,altricial,Monogamous,Solitary,Bonded
Collocalia_esculenta,APODIFORMES,-1.701,1.668,-0.51,Resident.LowLat,0,0,1.7,1.699,1.7,0.012,0.014,-0.039,2.615,0,1,1,0,22.5,40.4,altricial,Monogamous,Facultative,Aggregation
Collocalia_spodiopygia,APODIFORMES,-1.419,1.915,-0.355,Resident.LowLat,0,0.001,1.62,1.665,1.62,0.012,0.012,-1.071,1.035,0,1,0,0,26.6,48,altricial,NA,NA,NA
Colluricincla_harmonica,PASSERIFORMES,0.738,4.148,0.637,Resident.MidLat,0,0.005,1.378,1.394,1.378,0.009,0.009,-2.689,-0.452,0,1,1,0.055,17.25,17.25,altricial,Monogamous,Solitary,Aggregation
Colluricincla_megarhyncha,PASSERIFORMES,0.291,3.583,0.484,Resident.LowLat,0,0,1.603,1.636,1.603,0.012,0.012,-0.853,1.33,0,1,1,0.069,19,12,altricial,NA,Solitary,NA
Colonia_colonus,PASSERIFORMES,-0.713,2.818,-0.119,Resident.LowLat,0,0,1.6,1.645,1.6,0.019,0.012,0.105,0.728,0,1,1,0,NA,NA,altricial,Monogamous,Solitary,NA
